0, 97 156 186 200 243 318 333 383 435 453 495 500 598 678 687 702 720 883 1522 1747 1859 1957 1965 2065;
1, 136 185 312 402 676 765 872 1016 1397 1811 2252 2708 3180;
2, 242 375 513 515 859 940 1040 1300 1775 2830;
3, 205 364 455 455 455 770 770 770 876 1158 1310 1590 2062 2549;
4, 141 222 298 298 298 298 552 758 1041 1345 1578 1671 2000 2341;
5, 68 97 170 248 391 449 531 589 658 711 879 771 807 1053 1200 1255 1460 1478 1521 1685 1666 1784 1921 1954;
6, 140 150 276 285 449 693 730 854 932 979 1417;
7, 30 60 90 122 166 201 270 293 308 490 502 953 1337 1664 4515 4686 5767;
8, 64 98 130 163 196 227 294 327 360 393 426 459 497 526 560 594 628 664 696 732 801 908 980 1052;
9, 338 875 894 1050 1150 1620 1662 1666 1841 1852 2052 2243 2311 2584 2842 2893 2958 2980 3731 4251 4516 4852;
10, 386.52 389.92 387.6 392.95 396.54 399.91 408.22 411.38 612.85 619.66 624.63 625.6 633.9 633.58 636.53 640.57 645.58 648.5 653.81 656.25 657.11 662.2 663.31 665.58;
11, 1001.79 1008.32 1010.39 1020.54 1024.12 1029.16 1033.89 257.87 260.92 263.89 290.34 290.98 312.52 328.6 332. 332.6 337.91 492.14 498.17 498.38 512.71 515.93 517.73 522.3;
12, 267.42 270.95 273.68 277.1 282.19 281.95 288.21 289.19 292.58 297.27 341.06 410.82 413.23 418.27 420.77 423.27 426.64 426.59 432.89 431.39 438.81 440.5 439.26 444.22;
13, 170.96 176.6 176.51 214.11 219.5 222.93 222.38 254.64 253.16 255.84 263.34 353.19 355.7 410.39 413.21 416.35 419.67 423.48 428.06 429.54 432.98 434.75 435.96 441.76;
14, 127.6 132.89 136.54 261.66 267.77 270.69 311.32 314.69 319.62 397.77 398.23 531.74 630.96 632.78 800.53 942.26 944.72;
15, 262.76 267.94 268.35 313.42 313.68 316.51 332.93 398.09 400.57 399.27 527.43 535.01 534.75 625.64 631.93 631.57 799.6 798.52 944.25 946.75 946.91 952.97 1057.93 1060.44;
16, 133.71 135.24 233.29 237.57 240.5 265.28 264.22 270.11 396.8 403.8 402.28 469.33 471.85 478.18 477.63 592.91 599.42 603.17 893.37 952.37 954.94 1192.62 1192.51;
17, 221.21 221.64 223.71 230.55 369.35 373.04 378.99 382.3 381.67 445.69 444.51 448.88 450.86 599.47 750.24 755.82 755.19 893.39 893.03 898.85 897.46 1124.42 1125.9;
18, 132.32 133.33 260.98 265.14 269.87 313.93 315.38 315.4 529.38 530.73 533.4 630.93 631.14 796.83 940.4 944.4 949.23 1064.89 1255.3 1254.54 1258.47 1262.46 2117.52;
19, 309.36 315.01 315.25 318.68 400.84 399.22 599.95 600.82 632.04 631.61 635.78 792.57 797.03 801.87 946.98 944.77 952.91 952.92 1194.99 1262.33 1259.48 1262.87 1266.38 1891.06;
